0 1 0  0 0 0 0 0 0 0 0   8 0 2022-5-30,14:0:11
1 1 1  1 0 0 0 0 0 0 0   0 0 2022-5-30,14:0:12
2 1 2  0 1 0 0 0 0 0 0   0 0 2022-5-30,14:0:13
3 1 3  0 0 1 0 0 0 0 0   0 0 2022-5-30,14:0:14
4 1 4  0 0 0 1 0 0 0 0   0 0 2022-5-30,14:0:15
5 1 5  0 0 0 0 1 0 0 0   0 0 2022-5-30,14:0:16
6 1 6  0 0 0 0 0 1 0 0   0 0 2022-5-30,14:0:17
7 1 7  0 0 0 0 0 0 1 0   0 0 2022-5-30,14:0:18
8 1 8  0 0 0 0 0 0 0 1   0 0 2022-5-30,14:0:19
9 1 0  0 0 0 0 0 0 0 0   8 0 2022-5-30,14:0:11
10 1 1  1 0 0 0 0 0 0 0   0 0 2022-5-30,14:0:12
11 1 2  0 1 0 0 0 0 0 0   0 0 2022-5-30,14:0:13
12 1 3  0 0 1 0 0 0 0 0   0 0 2022-5-30,14:0:14
13 1 4  0 0 0 1 0 0 0 0   0 0 2022-5-30,14:0:15
14 1 5  0 0 0 0 1 0 0 0   0 0 2022-5-30,14:0:16
15 1 6  0 0 0 0 0 1 0 0   0 0 2022-5-30,14:0:17
16 1 7  0 0 0 0 0 0 1 0   0 0 2022-5-30,14:0:18
17 1 8  0 0 0 0 0 0 0 1   0 0 2022-5-30,14:0:19
